月份,D,P,R,M,Z
2022/8月,27.6,600.8,1086.2,10.8,29.5
2022/9月,27,95.4,1410.5,12.3,48
2022/10月,5,189.7,1210.5,4,35.1
2022/11月,23.6,216.3,1441.9,4.8,31
2022/12月,89,106,1381,4.5,87.4
2023/1月,14.2,37,818,76.8,212.9
