员工所属部门,正式实际人天,正式理论人天,正式填报率,外包实际人天,外包理论人天,外包填报率,实习实际人天,实习理论人天,实习填报率
中东云平台,331,427,77.52,84,102,82.35,0,0,0
亚太云平台,70,85,82.35,37,34,108.82,0,34,0
创新与赋能中心,102,121,84.3,14,17,82.35,0,0,0
智慧娱乐,238.8,265,90.11,39,51,76.47,10,17,58.82
海外智能终端与应用,112,136,82.35,15,17,88.24,0,0,0
二级部门,92,106,86.79,0,0,0,0,0,0
