员工所属部门,员工数,实际人天,预估人天,理论人天,部门实际人均,实际人均,预估人均,理论人均,预估填报率,理论填报率,预估填报,理论填报
中东云平台,32,415,684,546,13.8,13,21.4,17.1,60.7,76,不满,不满
亚太云平台,9,107,168,153,13.8,11.9,18.7,17,63.7,69.9,不满,不满
创新与赋能中心,8,116,71.9,138,13.8,14.5,9,17.2,161.3,84.1,超载,不满
智慧娱乐,19,287.9,309.1,333,13.8,15.2,16.3,17.5,93.1,86.5,合理,不满
海外智能终端与应用,9,127,130,153,13.8,14.1,14.4,17,97.7,83,合理,不满
二级部门,6,92,48,106,13.8,15.3,8,17.7,191.7,86.8,超载,不满
Total,83,1144.9,1411,1429,13.8,13.8,17,17.2,81.1,80.1,合理,不满
