月份,中东云平台,亚太云平台,海外智能终端与应用,智慧娱乐,创新与赋能中心,二级部门,海外研发中心
2022/8月,96.5,97.3,90,98.9,97.6,80,95.4
2022/9月,101.5,98.4,94.5,92.4,104.2,91.5,97.8
2022/10月,96.9,95.4,85.3,98.9,84,52.4,92.2
2022/11月,90.4,96.7,86.1,99.5,94,95.7,93.3
2022/12月,104.3,106.9,99,114.9,96.2,97.5,105.6
2023/1月,81.1,78.7,83,86.5,84.1,86.8,83.1
