业务线,员工数,实际人天,预估人天,理论人天,实际人均人天,预估人均人天,理论人均人天,部门实际人均人天,实际-预估差,实际-理论差,预估填报率,理论填报率,预估填报,理论填报
DX-SKU,14,121.2,265,266,8.7,18.9,19,12.5,-143.8,-144.8,45.7,45.6,不满,不满
DX-TY,10,17,171,194,1.7,17.1,19.4,12.5,-154,-177,9.9,8.8,不满,不满
IRDC,4,53,86,76,13.2,21.5,19,12.5,-33,-23,61.6,69.7,不满,不满
SCG,1,0,19,19,0,19,19,12.5,-19,-19,0,0,不满,不满
SI,10,141,188,190,14.1,18.8,19,12.5,-47,-49,75,74.2,不满,不满
SX-ABG,9,119,229,173,13.2,25.4,19.2,12.5,-110,-54,52,68.8,不满,不满
SX-IBG,31,459,748,589,14.8,24.1,19,12.5,-289,-130,61.4,77.9,不满,不满
IR,22,329.8,374,430,15,17,19.5,12.5,-44.2,-100.2,88.2,76.7,合理,不满
AIOT,12,171,228,228,14.3,19,19,12.5,-57,-57,75,75,不满,不满
Total,113,1411,2308,2165,12.5,20.4,19.2,12.5,-897,-754,61.1,65.2,不满,不满
