业务线,员工数,实际人天,预估人天,理论人天,实际人均人天,部门实际人均人天,预估人均人天,理论人均人天,预估填报率,理论填报率,预估填报,理论填报
AIOT,9,127.0,130.0,153,14.1,13.8,14.4,17.0,97.7,83.0,合理,不满
DX-SKU,5,73.0,77.4,87,14.6,13.8,15.5,17.4,94.3,83.9,合理,不满
DX-TY,3,49.0,0.0,55,16.3,13.8,0.0,18.3,0.0,89.1,超载,不满
IR,19,287.9,309.1,333,15.2,13.8,16.3,17.5,93.1,86.5,合理,不满
IRDC,6,86.0,42.5,102,14.3,13.8,7.1,17.0,202.4,84.3,超载,不满
SI,1,17.0,0.0,17,17.0,13.8,0.0,17.0,0.0,100.0,超载,合理
SX-ABG,10,124.0,187.0,172,12.4,13.8,18.7,17.2,66.3,72.1,不满,不满
SX-IBG,30,381.0,665.0,510,12.7,13.8,22.2,17.0,57.3,74.7,不满,不满
Total,83,1144.9,1411.0,1429,13.8,13.8,17.0,17.2,81.1,80.1,合理,不满
