2022/12/2,22:00:34,vi_irdc,1024/1024
2022/12/2,22:00:34,IRDC_Share,314/384
2022/12/3,10:00:35,IRDCSG,128/320
2022/12/3,10:00:35,vi_irdc,1024/1024
2022/12/3,10:00:35,IRDC_Share,234/384
2022/12/3,14:00:36,IRDCSG,64/320
2022/12/3,14:00:36,vi_irdc,1024/1024
2022/12/3,14:00:36,IRDC_Share,298/384
2022/12/3,18:00:40,IRDCSG,64/320
2022/12/3,18:00:40,vi_irdc,1024/1024
2022/12/3,18:00:40,IRDC_Share,222/384
2022/12/3,22:02:13,IRDCSG,64/320
2022/12/3,22:02:13,vi_irdc,1024/1024
2022/12/3,22:02:13,IRDC_Share,218/384
2022/12/4,10:00:34,IRDCSG,64/320
2022/12/4,10:00:34,vi_irdc,960/1024
2022/12/4,10:00:34,IRDC_Share,322/384
2022/12/4,14:00:33,IRDCSG,64/320
2022/12/4,14:00:33,vi_irdc,960/1024
2022/12/4,14:00:33,IRDC_Share,322/384
2022/12/4,22:00:35,IRDCSG,64/320
2022/12/4,22:00:35,vi_irdc,832/1024
2022/12/4,22:00:35,IRDC_Share,370/384
2022/12/5,14:00:34,IRDCSG,320/320
2022/12/5,14:00:34,vi_irdc,1024/1024
2022/12/5,14:00:34,IRDC_Share,368/384
2022/12/5,18:00:34,IRDCSG,192/320
2022/12/5,18:00:34,vi_irdc,1024/1024
2022/12/5,18:00:34,IRDC_Share,380/384
2022/12/5,22:00:34,IRDCSG,192/320
2022/12/5,22:00:34,vi_irdc,1024/1024
2022/12/5,22:00:34,IRDC_Share,370/384
2022/12/6,10:00:34,IRDCSG,192/320
2022/12/6,10:00:34,vi_irdc,832/1024
2022/12/6,10:00:34,IRDC_Share,170/384
2022/12/6,14:00:35,IRDCSG,192/320
2022/12/6,14:00:35,vi_irdc,896/1024
2022/12/6,14:00:35,IRDC_Share,378/384
2022/12/6,18:00:36,IRDCSG,192/320
2022/12/6,18:00:36,vi_irdc,960/1024
2022/12/6,18:00:36,IRDC_Share,376/384
2022/12/6,22:00:34,IRDCSG,192/320
2022/12/6,22:00:34,vi_irdc,960/1024
2022/12/6,22:00:34,IRDC_Share,376/384
2022/12/7,10:00:34,IRDCSG,192/320
2022/12/7,10:00:34,vi_irdc,1024/1024
2022/12/7,10:00:34,IRDC_Share,379/384
2022/12/7,14:00:33,IRDCSG,320/320
2022/12/7,14:00:33,vi_irdc,1024/1024
2022/12/7,14:00:33,IRDC_Share,384/384
2022/12/7,18:00:33,IRDCSG,192/320
2022/12/7,18:00:33,vi_irdc,1024/1024
2022/12/7,18:00:33,IRDC_Share,378/384
2022/12/7,22:00:34,IRDCSG,64/320
2022/12/7,22:00:34,vi_irdc,960/1024
2022/12/7,22:00:34,IRDC_Share,375/384
2022/12/8,10:00:35,IRDCSG,64/320
2022/12/8,10:00:35,vi_irdc,960/1024
2022/12/8,10:00:35,IRDC_Share,350/384
2022/12/8,14:00:33,IRDCSG,256/320
2022/12/8,14:00:33,vi_irdc,1024/1024
2022/12/8,14:00:33,IRDC_Share,380/384
2022/12/8,18:00:34,IRDCSG,192/320
2022/12/8,18:00:34,vi_irdc,1024/1024
2022/12/8,18:00:34,IRDC_Share,378/384
2022/12/8,22:00:37,IRDCSG,256/320
2022/12/8,22:00:37,vi_irdc,1024/1024
2022/12/8,22:00:37,IRDC_Share,382/384
2022/12/9,10:00:40,IRDCSG,128/320
2022/12/9,10:00:40,vi_irdc,832/1024
2022/12/9,10:00:40,IRDC_Share,365/384
2022/12/9,14:00:37,IRDCSG,192/320
2022/12/9,14:00:37,vi_irdc,640/1024
2022/12/9,14:00:37,IRDC_Share,365/384
2022/12/9,18:00:34,IRDCSG,320/320
2022/12/9,18:00:34,vi_irdc,640/1024
2022/12/9,18:00:34,IRDC_Share,357/384
2022/12/9,22:00:41,IRDCSG,256/320
2022/12/9,22:00:41,vi_irdc,640/1024
2022/12/9,22:00:41,IRDC_Share,309/384
2022/12/10,10:00:19,IRDCSG,128/320
2022/12/10,10:00:19,vi_irdc,384/1024
2022/12/10,10:00:19,IRDC_Share,293/384
2022/12/10,14:00:19,IRDCSG,128/320
2022/12/10,14:00:19,vi_irdc,384/1024
2022/12/10,14:00:19,IRDC_Share,252/384
2022/12/10,18:00:18,IRDCSG,128/320
2022/12/10,18:00:18,vi_irdc,256/1024
2022/12/10,18:00:18,IRDC_Share,252/384
2022/12/10,22:00:23,IRDCSG,320/320
2022/12/10,22:00:23,vi_irdc,256/1024
2022/12/10,22:00:23,IRDC_Share,252/384
2022/12/11,14:00:18,IRDCSG,192/320
2022/12/11,14:00:18,vi_irdc,256/1024
2022/12/11,14:00:18,IRDC_Share,220/384
2022/12/11,18:00:22,IRDCSG,320/320
2022/12/11,18:00:22,vi_irdc,256/1024
2022/12/11,18:00:22,IRDC_Share,220/384
2022/12/11,22:00:19,IRDCSG,256/320
2022/12/11,22:00:19,vi_irdc,256/1024
2022/12/11,22:00:19,IRDC_Share,220/384
2022/12/12,14:00:24,IRDCSG,320/320
2022/12/12,14:00:24,vi_irdc,128/1024
2022/12/12,14:00:24,IRDC_Share,179/384
2022/12/12,18:00:20,IRDCSG,320/320
2022/12/12,18:00:20,vi_irdc,256/1024
2022/12/12,18:00:20,IRDC_Share,212/384
2022/12/12,22:00:24,IRDCSG,320/320
2022/12/12,22:00:24,vi_irdc,320/1024
2022/12/12,22:00:24,IRDC_Share,211/384
2022/12/13,10:00:24,IRDCSG,320/320
2022/12/13,10:00:24,vi_irdc,256/1024
2022/12/13,10:00:24,IRDC_Share,203/384
2022/12/13,14:00:23,IRDCSG,320/320
2022/12/13,14:00:23,vi_irdc,128/1024
2022/12/13,14:00:23,IRDC_Share,177/384
2022/12/13,18:00:28,IRDCSG,320/320
2022/12/13,18:00:28,vi_irdc,512/1024
2022/12/13,18:00:28,IRDC_Share,210/384
2022/12/13,22:00:22,IRDCSG,320/320
2022/12/13,22:00:22,vi_irdc,512/1024
2022/12/13,22:00:22,IRDC_Share,204/384
2022/12/14,10:00:28,IRDCSG,256/320
2022/12/14,10:00:28,vi_irdc,512/1024
2022/12/14,10:00:28,IRDC_Share,204/384
2022/12/14,14:00:25,IRDCSG,320/320
2022/12/14,14:00:25,vi_irdc,768/1024
2022/12/14,14:00:25,IRDC_Share,204/384
2022/12/14,18:00:26,IRDCSG,320/320
2022/12/14,18:00:26,vi_irdc,640/1024
2022/12/14,18:00:26,IRDC_Share,198/384
2022/12/14,22:00:26,IRDCSG,256/320
2022/12/14,22:00:26,vi_irdc,320/1024
2022/12/14,22:00:26,IRDC_Share,248/384
2022/12/15,10:00:22,IRDCSG,256/320
2022/12/15,10:00:22,vi_irdc,192/1024
2022/12/15,10:00:22,IRDC_Share,255/384
2022/12/15,14:00:25,IRDCSG,320/320
2022/12/15,14:00:25,vi_irdc,320/1024
2022/12/15,14:00:25,IRDC_Share,239/384
