员工所属部门,正式实际人天,正式理论人天,正式填报率,外包实际人天,外包理论人天,外包填报率,实习实际人天,实习理论人天,实习填报率
中东云平台,500.5,480,104.27,124,120,103.33,0,0,0
亚太云平台,110,100,110,44,40,110,17,40,42.5
创新与赋能中心,132,140,94.29,22,20,110,0,0,0
智慧娱乐,349.6,300,116.53,88,80,110,22,20,110
海外智能终端与应用,176,180,97.78,22,20,110,0,0,0
二级部门,39,40,97.5,0,0,0,0,0,0
