月份,亚太云平台,海外智能终端与应用,智慧娱乐,中东云平台,二级部门,创新与赋能中心,海外研发中心
2022/8月,22.4,20.7,22.7,22.2,18.4,22.5,21.9
2022/9月,19.7,18.9,18.7,20.3,18.8,21,19.7
2022/10月,18.1,16.2,19.3,18.5,10.8,16.2,17.7
2022/11月,22.2,19.8,22.9,20.8,22,21.6,21.5
2022/12月,21.4,19.8,23,20.9,19.5,19.2,21.1
2023/1月,13.4,14.1,15.2,13.8,15.3,14.5,14.3
