业务线,员工数,实际人天,预估人天,理论人天,实际人均人天,部门实际人均人天,预估人均人天,理论人均人天,预估填报率,理论填报率,预估填报,理论填报
AIOT,10,198.0,200,200,19.8,20.6,20.0,20.0,99.0,99.0,合理,合理
DX-SKU,5,105.0,20,100,21.0,20.6,4.0,20.0,525.0,105.0,超载,合理
DX-TY,1,22.0,19,20,22.0,20.6,19.0,20.0,115.8,110.0,合理,合理
IR,20,459.5,290,400,23.0,20.6,14.5,20.0,158.4,114.9,超载,合理
IRDC,4,66.0,43,80,16.5,20.6,10.8,20.0,153.5,82.5,超载,不满
SI,1,22.0,0,20,22.0,20.6,0.0,20.0,0.0,110.0,超载,合理
SX-ABG,10,193.0,207,200,19.3,20.6,20.7,20.0,93.2,96.5,合理,合理
SX-IBG,29,580.5,666,580,20.0,20.6,23.0,20.0,87.2,100.1,合理,合理
Total,80,1646.0,1445,1600,20.6,20.6,18.1,20.0,113.9,102.9,合理,合理
